i,ml,mom,gmm,cue,el
1,0.010999999999999899,0.272,0.6419999999999999,0.24799999999999978,0.5690000000000004
2,0.004999999999999893,0.13999999999999968,0.6709999999999998,0.2490000000000001,0.7830000000000004
3,0.005000000000000782,0.15500000000000025,0.6469999999999994,0.27999999999999936,0.718
4,0.009999999999999787,0.15700000000000003,0.7130000000000001,0.2110000000000003,0.7610000000000001
5,0.005000000000000782,0.18700000000000117,0.6910000000000007,0.29900000000000126,0.875
6,0.012000000000000455,0.18399999999999928,0.8519999999999985,0.3019999999999996,0.8309999999999995
7,0.0070000000000014495,0.20500000000000007,0.8109999999999999,0.3180000000000014,3.160000000000002
8,0.011999999999996902,0.19899999999999807,0.8029999999999973,0.28500000000000014,0.907
9,0.006000000000000227,0.17999999999999972,0.8050000000000033,0.3030000000000008,5.425999999999998
10,0.006999999999997897,0.21499999999999986,0.9029999999999987,0.26699999999999946,1.6449999999999996
11,0.006999999999997897,0.1720000000000006,0.7309999999999981,0.2660000000000018,0.6870000000000012
12,0.006000000000000227,0.17900000000000205,0.7920000000000016,0.2820000000000036,0.8900000000000006
13,0.006000000000000227,0.18999999999999773,0.7929999999999993,0.2989999999999995,0.8659999999999997
14,0.006000000000000227,0.17199999999999704,0.7829999999999941,0.30400000000000205,0.8710000000000022
15,0.007000000000005002,0.17900000000000205,0.8810000000000002,0.41899999999999693,0.8140000000000001
16,0.006000000000000227,0.2749999999999986,0.7430000000000021,0.2710000000000008,0.7579999999999956
17,0.006000000000000227,0.19200000000000017,0.7609999999999957,0.2749999999999986,1.774000000000001
18,0.006000000000000227,0.1769999999999996,0.7929999999999993,0.32099999999999795,2.6970000000000027
19,0.006000000000000227,0.3440000000000012,1.2210000000000036,0.26500000000000057,0.7439999999999998
20,0.005999999999993122,0.16899999999999693,0.7509999999999977,0.29999999999999716,0.7149999999999963
21,0.01100000000000012,0.22099999999999986,0.7230000000000003,0.278,1.9900000000000002
22,0.006999999999999673,0.18200000000000038,0.7610000000000001,0.3440000000000003,0.8319999999999999
23,0.006000000000000227,0.2030000000000003,0.8960000000000008,0.2710000000000008,1.7509999999999994
24,0.006000000000000227,0.18200000000000038,0.8170000000000002,0.3689999999999998,0.8659999999999997
25,0.006999999999999673,0.1750000000000007,0.7679999999999989,0.27699999999999925,0.7629999999999999
26,0.005999999999998451,0.1869999999999994,0.8079999999999998,0.2729999999999997,0.7479999999999993
27,0.005000000000002558,0.18599999999999994,0.7490000000000023,0.28600000000000136,0.9519999999999982
28,0.006000000000000227,0.1769999999999996,0.7949999999999982,0.3860000000000028,2.737000000000002
29,0.006000000000000227,0.18499999999999872,0.8239999999999981,0.29299999999999926,0.782
30,0.014999999999997016,0.21799999999999997,0.9109999999999978,0.4280000000000008,1.7390000000000008
31,0.0070000000000014495,0.19700000000000273,0.9130000000000003,0.3180000000000014,1.9849999999999994
