i,ml,mom,gmm,cue,el
1,0.017000000000000015,0.5819999999999999,4.679,2.1210000000000004,115.652
2,0.012000000000000455,0.49900000000000944,5.561000000000007,2.5289999999999964,55.87100000000001
3,0.00899999999998613,0.4549999999999841,5.371999999999986,2.5109999999999957,70.02900000000002
4,0.009999999999990905,0.48500000000001364,5.7620000000000005,2.54200000000003,88.38
5,0.010999999999967258,0.521000000000015,5.677999999999997,2.5009999999999764,65.13899999999995
6,0.010999999999967258,0.45800000000002683,5.277999999999963,2.448000000000036,69.56300000000005
7,0.009999999999990905,0.46100000000001273,5.2859999999999445,2.447999999999979,53.04099999999994
8,0.009999999999990905,0.4550000000000409,5.551999999999907,2.41700000000003,34.02800000000002
9,0.012000000000057298,0.45699999999999363,5.298000000000002,1.8630000000000564,64.78499999999997
10,0.009999999999990905,0.46100000000001273,5.178999999999974,2.4569999999999936,99.95700000000011
11,0.009000000000014552,0.4660000000000082,5.370999999999981,2.4279999999999973,33.48700000000008
12,0.009999999999990905,0.44700000000000273,5.232999999999947,2.5009999999999764,82.46000000000004
13,0.009000000000014552,0.5579999999999927,5.356999999999971,2.4180000000000064,207.5250000000001
14,0.009999999999990905,0.47299999999995634,5.3969999999999345,2.436000000000149,108.80700000000002
15,0.009999999999990905,0.4819999999999709,5.535000000000082,2.5060000000000855,173.24900000000002
16,0.009999999999990905,0.46900000000005093,5.425999999999931,2.400000000000091,144.84800000000018
17,0.010999999999967258,0.4780000000000655,5.389000000000124,2.433999999999969,66.42900000000009
18,0.009999999999990905,0.44699999999988904,5.117000000000189,2.3710000000000946,103.40100000000007
19,0.009999999999990905,0.45900000000006,5.257000000000062,2.3759999999999764,108.32399999999984
20,0.009999999999990905,0.4370000000001255,4.999000000000024,2.2180000000000746,140.7940000000001
21,0.013000000000000123,0.4889999999999999,5.019,2.3469999999999995,166.526
22,0.009000000000014552,0.46700000000001296,5.417999999999978,2.3559999999999945,54.929
23,0.01099999999999568,0.43899999999999295,5.1370000000000005,1.7530000000000143,102.61300000000003
