i,ml,mom,gmm,cue,el
1,0.040000000000000036,0.22999999999999976,0.8140000000000001,0.5500000000000003,3.673
2,0.008999999999999453,0.1739999999999995,0.806,0.27399999999999913,1.9109999999999996
3,0.008000000000000895,0.17800000000000082,0.7960000000000012,0.3470000000000013,7.404999999999999
4,0.009000000000000341,0.2049999999999983,0.8460000000000001,0.3409999999999975,2.852999999999998
5,0.009000000000000341,0.19699999999999918,0.9080000000000013,0.48100000000000165,3.0229999999999997
6,0.015000000000000568,0.2029999999999994,0.907,0.3509999999999991,6.267000000000003
7,0.009000000000000341,0.20000000000000284,0.7989999999999995,1.3530000000000015,2.585000000000001
8,0.009000000000000341,0.20700000000000074,0.7160000000000011,0.2910000000000039,1.9890000000000043
9,0.010000000000005116,0.21999999999999886,1.051000000000002,0.5640000000000001,14.019999999999996
10,0.009000000000000341,0.1769999999999996,0.7639999999999958,0.30700000000000216,3.469999999999999
11,0.007999999999995566,0.17099999999999227,0.7130000000000081,0.22500000000000853,2.0660000000000025
12,0.009999999999990905,0.17900000000000205,0.7469999999999999,0.26200000000000045,2.320999999999998
13,0.009000000000000341,0.1910000000000025,0.867999999999995,0.5019999999999953,2.6380000000000052
14,0.014000000000010004,0.1869999999999976,0.8249999999999886,0.3539999999999992,2.6440000000000055
15,0.010000000000005116,0.20199999999999818,0.8910000000000053,0.6080000000000041,5.320000000000007
16,0.009000000000000341,0.18999999999999773,0.8340000000000032,0.33900000000001285,3.7099999999999937
17,0.010000000000005116,0.21399999999999864,0.9489999999999981,0.5,6.117999999999995
18,0.009000000000000341,0.18200000000000216,0.7620000000000005,0.32399999999999807,2.1259999999999906
19,0.009000000000000341,0.21300000000000807,0.9210000000000065,0.3719999999999999,1.9650000000000034
20,0.009000000000000341,0.18200000000000216,0.9809999999999945,0.6090000000000089,3.3119999999999976
21,0.11599999999999966,0.2919999999999998,0.6909999999999998,0.2599999999999998,4.621
22,0.008000000000000895,0.16299999999999848,0.7170000000000005,0.2840000000000007,2.421999999999999
23,0.010000000000001563,0.2129999999999992,0.9390000000000001,0.33699999999999974,90.717
24,0.01099999999999568,0.22700000000000387,0.73599999999999,0.3149999999999977,3.9369999999999976
25,0.009999999999990905,0.1979999999999933,0.8580000000000041,0.36299999999999955,1.61099999999999
26,0.009000000000000341,0.19499999999999318,0.8799999999999955,0.33899999999999864,2.8669999999999902
27,0.009999999999990905,0.21399999999999864,0.9249999999999972,0.4380000000000024,3.6770000000000067
28,0.009999999999990905,0.23100000000000875,1.0289999999999964,0.35200000000000387,27.38600000000001
29,0.009999999999990905,0.2009999999999934,0.8949999999999818,0.671999999999997,3.032999999999987
30,0.009999999999990905,0.19499999999999318,0.9089999999999918,0.5799999999999841,3.905000000000001
31,0.00899999999998613,0.2939999999999827,0.8770000000000095,0.42799999999999727,10.200000000000017
32,0.007999999999981355,0.1769999999999925,0.9509999999999934,0.4480000000000075,4.254000000000019
33,0.00899999999998613,0.18700000000001182,0.9240000000000066,0.3170000000000073,37.5
34,0.00899999999998613,0.19400000000001683,0.806999999999988,0.3709999999999809,3.9320000000000164
35,0.007000000000005002,0.15100000000001046,0.7350000000000136,0.2839999999999918,2.125
36,0.008000000000009777,0.17599999999998772,0.8149999999999977,0.38399999999998613,3.9890000000000043
37,0.0069999999999765805,0.15300000000002,0.7060000000000173,0.3120000000000118,3.0459999999999923
38,0.007000000000005002,0.14800000000002456,0.7069999999999936,0.2220000000000084,1.2279999999999802
39,0.008000000000009777,0.17099999999999227,0.7690000000000055,0.563999999999993,2.204999999999984
40,0.009000000000014552,0.18999999999999773,0.8640000000000043,0.6680000000000064,4.100000000000023
41,0.013000000000000345,0.20699999999999985,0.7159999999999997,0.30200000000000005,2.619
42,0.009999999999999787,0.1900000000000004,1.0249999999999995,0.29100000000000037,5.4079999999999995
43,0.009999999999999787,0.21499999999999986,0.859,0.37400000000000055,3.7959999999999994
44,0.012000000000000455,0.1750000000000007,0.7169999999999987,0.2710000000000008,2.367000000000001
45,0.015000000000000568,0.17100000000000293,0.8500000000000014,0.2729999999999997,1.5030000000000001
46,0.009000000000000341,0.19500000000000028,0.879999999999999,0.3460000000000001,2.535
47,0.009000000000000341,0.19000000000000128,0.8290000000000006,0.33200000000000074,3.1779999999999973
48,0.00999999999999801,0.2079999999999984,0.8689999999999998,0.4099999999999966,3.271000000000001
49,0.009000000000000341,0.19999999999999574,0.9930000000000021,0.3430000000000035,6.135000000000005
50,0.008000000000002672,0.16900000000000404,0.7330000000000041,0.2989999999999995,2.253
51,0.015000000000000568,0.22699999999999676,0.8999999999999986,0.4690000000000012,3.4510000000000005
52,0.006999999999997897,0.17999999999999972,0.8159999999999954,0.25800000000000267,2.352000000000004
53,0.009000000000000341,0.19599999999999795,0.9669999999999987,0.7439999999999998,10.186999999999998
54,0.009000000000000341,0.20399999999999352,0.8080000000000069,0.30800000000000693,16.59899999999999
55,0.010000000000005116,0.20700000000000784,0.9620000000000033,0.49099999999999966,4.556000000000012
56,0.01100000000000989,0.21999999999999886,1.1140000000000043,0.9950000000000045,64.498
57,0.009000000000014552,0.16199999999997772,0.7079999999999984,0.2639999999999816,1.929000000000002
58,0.007000000000005002,0.15399999999999636,0.6900000000000261,0.2849999999999966,11.926999999999992
59,0.0049999999999954525,0.11400000000000432,0.5209999999999866,0.1599999999999966,0.4329999999999927
60,0.007999999999981355,0.17799999999999727,0.7909999999999968,0.41100000000000136,2.835000000000008
61,0.039000000000000146,0.2280000000000002,0.7509999999999999,0.3620000000000001,4.2589999999999995
62,0.009000000000000341,0.18200000000000038,0.7189999999999994,0.25899999999999856,1.8679999999999986
63,0.006999999999999673,0.15700000000000003,0.6319999999999997,0.24600000000000044,1.181000000000001
64,0.009000000000000341,0.20300000000000118,0.8640000000000008,0.5030000000000001,4.204000000000002
65,0.009000000000000341,0.19399999999999906,0.8030000000000008,0.3860000000000028,3.2079999999999984
66,0.009000000000000341,0.19699999999999918,0.9450000000000003,0.3769999999999989,2.7799999999999976
67,0.009000000000000341,0.19500000000000028,0.843,0.7079999999999984,4.881000000000004
68,0.00999999999999801,0.2079999999999984,0.7630000000000052,0.3689999999999998,2.953000000000003
69,0.008000000000002672,0.16900000000000404,0.6850000000000023,0.23399999999999466,1.6310000000000002
70,0.009000000000000341,0.2640000000000029,0.7550000000000026,0.3100000000000023,3.6099999999999994
71,0.008999999999993236,0.16499999999999915,0.6909999999999954,0.2629999999999981,2.539999999999999
72,0.009000000000000341,0.19899999999999807,0.7310000000000016,0.2850000000000037,2.5820000000000007
73,0.009000000000000341,0.19600000000000506,0.8930000000000007,0.3649999999999949,4.244
74,0.008000000000002672,0.1739999999999995,0.6659999999999968,0.26500000000000057,1.556999999999995
75,0.00999999999999801,0.19500000000000028,0.8079999999999927,0.31399999999999295,3.7820000000000107
76,0.007999999999995566,0.21099999999999852,0.7879999999999967,0.3259999999999934,2.4039999999999964
77,0.009999999999990905,0.2079999999999984,0.9570000000000078,1.0190000000000055,45.467
78,0.01099999999999568,0.2259999999999991,0.8829999999999956,0.32500000000000284,2.608000000000004
79,0.007999999999995566,0.18499999999998806,0.9209999999999923,0.3119999999999976,3.9440000000000026
80,0.007999999999981355,0.17900000000000205,0.7879999999999825,0.2609999999999957,8.126000000000005
81,0.0389999999999997,0.23399999999999999,0.7530000000000001,0.2789999999999999,3.314
82,0.008000000000000007,0.1869999999999994,0.9559999999999995,0.363999999999999,3.1500000000000004
83,0.009000000000000341,0.18700000000000117,0.7050000000000001,0.3000000000000007,2.819000000000001
84,0.010999999999999233,0.20199999999999818,1.061,0.30400000000000205,50.371
85,0.01099999999999568,0.21800000000000352,0.8340000000000032,0.3229999999999933,2.8640000000000043
86,0.006999999999990791,0.17499999999999716,0.8950000000000102,0.24399999999999977,1.8229999999999933
87,0.015999999999991132,0.19599999999999795,0.8410000000000082,0.35200000000000387,4.0319999999999965
88,0.009000000000000341,0.22700000000000387,0.8859999999999957,0.4660000000000082,5.332000000000008
89,0.009999999999990905,0.20600000000000307,0.894999999999996,0.762999999999991,3.6269999999999953
90,0.009000000000000341,0.20999999999999375,0.8079999999999927,0.36199999999999477,3.760000000000005
91,0.009000000000000341,0.19599999999999795,0.9869999999999948,0.3230000000000075,2.152000000000001
92,0.013999999999995794,0.18099999999999739,0.8499999999999943,0.29599999999999227,3.5720000000000027
93,0.014000000000010004,0.1910000000000025,0.8599999999999994,0.3920000000000101,5.009
94,0.007999999999995566,0.15500000000000114,0.6970000000000027,0.3199999999999932,2.361000000000004
95,0.007999999999995566,0.17300000000000182,0.7279999999999944,0.3269999999999982,15.11999999999999
96,0.009000000000014552,0.1980000000000075,0.8729999999999905,1.032999999999987,87.65699999999998
97,0.008000000000009777,0.1640000000000157,0.8319999999999936,1.1339999999999861,2.3400000000000034
98,0.0069999999999765805,0.1640000000000157,0.7060000000000173,0.27599999999998204,2.102000000000004
99,0.006000000000000227,0.1560000000000059,0.7659999999999911,0.28199999999998226,2.7890000000000157
100,0.007999999999981355,0.17300000000000182,0.875,0.34300000000001774,2.783999999999992
101,0.11899999999999977,0.2450000000000001,0.823,0.49099999999999966,46.289
102,0.01300000000000523,0.2330000000000041,0.9579999999999984,0.43599999999999994,3.293999999999997
103,0.009000000000000341,0.20600000000000307,0.8900000000000006,0.37999999999999545,183.121
104,0.007999999999981355,0.15300000000002,0.6370000000000005,0.2849999999999966,17.774
105,0.007999999999981355,0.1710000000000491,0.8640000000000327,1.5980000000000132,6.628000000000043
106,0.007999999999981355,0.17199999999996862,0.8170000000000073,1.2779999999999632,40.84700000000004
107,0.012000000000000455,0.14500000000003865,0.6930000000000405,0.23999999999995225,1.891999999999996
