estimator,k,x_var,rmse,mean_bias,median_bias,sd,mae
cue,2,_diagish_rho0_9,0.04946661464629962,-1.0163628373532408e-4,2.8782135787719376e-5,0.04946898374402489,0.03295734314487092
cue,5,,133.86324491993588,1.4077442932473205,2.571809259522828e-4,133.85851979098078,0.04219377186372872
cue,5,_decay_rho0_5,468.17106311399584,-1.7993636073537738,-6.958899484498793e-4,468.17696890691474,0.04744266441784689
cue,5,_decay_rho0_9,478.98360865840596,1.5231169411405918,-8.910311966445761e-4,478.9907668884685,0.07819378636084981
cue,5,_diagish_rho0_5,655.1957388820077,-5.031143491509274,-2.5423675041805205e-4,655.189525844926,0.048236531188632525
cue,5,_diagish_rho0_9,994.2906240250254,-16.127009604198125,-4.303711097326107e-5,994.1797122841087,0.07940765771665309
cue,10,,1498.3605266597494,-1.6869299854194955,6.38557645993229e-5,1498.374560864472,0.10503432033400945
cue,10,_decay_rho0_5,2638.6019238474973,23.466151430301984,5.729499566353297e-4,2638.5239601797316,0.11731613523985798
cue,10,_decay_rho0_9,1421.6322355925215,-28.11095493646265,4.296418485141562e-4,1421.3684931277378,0.16771166858353648
cue,10,_diagish_rho0_5,8652.894670061653,-140.59495510596665,0.0014724435029960237,8651.83889795149,0.11825118969756468
cue,10,_diagish_rho0_9,4362.26910462206,13.117656088916485,-0.0011244418597927252,4362.293004859266,0.16134663978585814
el,2,,0.04829723205746233,-3.3956394177738234e-4,-3.192602279859791e-4,0.0482984533375686,0.03199933937358704
el,2,_decay_rho0_5,0.048359256745077246,2.598450154810758e-4,2.5810107698859275e-4,0.048360976746871225,0.031711707206359324
el,2,_decay_rho0_9,0.04842942400982371,-1.342604978011668e-4,4.571775033228309e-5,0.048431659548343796,0.03242642829813719
el,2,_diagish_rho0_5,0.048359256745077246,2.598450154810758e-4,2.5810107698859275e-4,0.048360976746871225,0.031711707206359324
el,2,_diagish_rho0_9,0.04842942400982371,-1.342604978011668e-4,4.571775033228309e-5,0.048431659548343796,0.03242642829813719
el,5,,0.06103228079331466,4.689481530753127e-4,-9.42195944418911e-5,0.06103169980591218,0.03781389962715321
el,5,_decay_rho0_5,0.06635449389220321,-6.875627726644336e-4,-7.237972481621731e-4,0.06635225860521222,0.04265314735934578
el,5,_decay_rho0_9,0.22919396271647105,0.012220288753061704,0.0025325963603590462,0.2288725243312676,0.08355080533397302
el,5,_diagish_rho0_5,0.06712553878771549,-6.60702156121919e-4,-4.467806690276188e-4,0.06712362962078355,0.04284180895494504
el,5,_diagish_rho0_9,0.18385102710172166,0.004953071548782189,7.460603965703805e-4,0.18378797123132246,0.07804835268843746
el,10,,0.09298547217585605,3.575291884773379e-6,-1.6947166881756126e-4,0.09298640197579018,0.05204916471063321
el,10,_decay_rho0_5,0.11824787657673011,0.0012627841134009712,8.013449590971999e-4,0.11824231609747358,0.06020126746962436
el,10,_decay_rho0_9,0.27589986783807807,0.007772737149357485,9.623017955518454e-4,0.27579311606190116,0.12539084684026658
el,10,_diagish_rho0_5,0.11584146074569987,-2.2965435886047016e-4,2.759990337126428e-4,0.11584239153162583,0.06192824057556015
el,10,_diagish_rho0_9,0.2626889409865476,0.004472073566092702,-6.461863632074433e-4,0.2626534980004142,0.1216364543409368
