i,var,beta,ml,mom,gmm,cue,el,time
1,x1,-0.7488270657500321,-0.6767122939195075,-0.6763711338458813,-0.7208846360870621,-0.7639671084968882,-0.6550373564939245,74.077
1,x2,0.29989836373805545,0.3468418819938189,0.30433110534163044,0.5390358707996188,0.5770060483600055,0.39944291107518093,74.077
1,x3,0.9272217971417436,0.9586724069372553,0.9354498937492524,0.973334804937489,0.9642384020647872,0.9842975804904427,74.077
1,x4,-0.5204378213386672,-0.5945415630439552,-0.44571023297087553,-0.5876485693213304,-0.6037291368982709,-0.6534456619111186,74.077
1,x5,-0.2981462627682887,-0.34688588029602724,-0.4730138590243038,-0.31837034511930606,-0.5541660973585476,-0.36114941885785684,74.077
1,x6,0.20347401553825373,0.364252118171066,0.321962147167751,0.22830215253777053,0.47354393042972287,0.3938021845697942,74.077
1,x7,0.1249166894663758,0.041317995692254104,0.1270685423398443,0.3153896159800242,0.17474403799606794,0.05614807185560043,74.077
1,x8,0.45715248470374314,0.5379567485614601,0.5227943880565677,0.5618532844556492,0.5402033070787073,0.5231515045261504,74.077
1,x9,0.11094216468650164,-0.0022830725602914826,-0.06605509379307588,0.09197487463224635,-0.004519488578235312,0.06264427366000147,74.077
1,x10,0.11183538270689541,0.2154136001246524,0.27476568366007503,0.2610336043922813,0.2754674675255954,0.23907937437874374,74.077
