i,var,beta,ml,mom,gmm,cue,el,time
4,x1,0.17802075227450498,0.161955408386876,0.18806443592688118,0.23102187836803,0.35864900275156997,0.17209948432746988,95.945
4,x2,0.4605380203090397,0.44972881439408313,0.5336977457402299,0.47909555822377153,0.6724180105738828,0.44384511685461236,95.945
4,x3,0.7443340734628701,0.7098453071670402,0.8673816004547703,0.7890405759804918,0.6247484318187891,0.7261969183962995,95.945
4,x4,-0.1785541295863824,-0.19200585129019385,-0.24097832371905495,-0.16513909496845988,-0.17937531607978902,-0.17695270717811012,95.945
4,x5,-0.971452980316761,-1.0231867346051606,-1.1657310971650579,-1.1404592092514807,-1.1382194685258014,-1.0132865488695209,95.945
4,x6,-0.806683795943444,-0.8228702333926966,-0.889182136587219,-0.9177816692121212,-1.1701102916985409,-0.8073718615307979,95.945
4,x7,-0.10584357381227028,-0.05159923548917939,-0.03630272019932275,-0.09464555674668292,-0.2741254250296214,-0.08801800361284651,95.945
4,x8,-0.208026119803412,-0.18977262383660123,-0.2013506601269507,-0.2262314526861828,-0.10875669654923026,-0.19174748695853555,95.945
4,x9,0.8842711867597903,0.898759825813001,1.045444938029275,0.975271507090091,1.0166213918630542,0.8992071039513886,95.945
4,x10,0.597717857064054,0.5718200382024791,0.6828341141460882,0.6534975636195266,0.5335536753341029,0.5660425126718847,95.945
5,x1,0.7597058503932361,0.7721364455385651,0.7802269043435887,0.8178902890647634,0.8723180183013922,0.7433151516781857,72.95800000000003
5,x2,0.24450645243221492,0.3012923959174188,0.2999949457960384,0.3491491160075112,0.4918400341498764,0.30486081140761156,72.95800000000003
5,x3,-0.7494233101327086,-0.8221302913131376,-0.8219184029293867,-0.9588453775100718,-0.940084674003935,-0.8404274760643727,72.95800000000003
5,x4,0.5383701897182036,0.5809388987884143,0.5797535527333924,0.5923792466195861,0.7050734229831122,0.6293940342575203,72.95800000000003
5,x5,-0.8634003176324223,-1.0174258462512678,-1.0223569259837633,-1.204965218507223,-1.13443470252679,-0.9966380352648894,72.95800000000003
5,x6,-0.31328504326829887,-0.35673548094467944,-0.35987111089563195,-0.43329616841837976,-0.4499767113786728,-0.3644017963500938,72.95800000000003
5,x7,-0.575191856743746,-0.5463335804381271,-0.5350106780635877,-0.639707078354925,-0.6038645478337059,-0.5142303230692431,72.95800000000003
5,x8,0.8283432150016048,0.9159060655683963,0.9220174679217262,0.9584362823443271,1.0607672991467012,0.8924947303151838,72.95800000000003
5,x9,-0.029601995869822484,-0.01942584745019704,-0.019385085257105656,-0.03466821527488083,0.017758459555244438,0.035076749497669334,72.95800000000003
5,x10,0.46277592244031673,0.4059660710589911,0.41026036126383536,0.4410920395335428,0.5234972272669345,0.4016444820167434,72.95800000000003
6,x1,-0.7485408330560879,-0.7753736950764546,-0.7837345845627495,-0.9797843592016825,-0.9845028467146645,-0.8485287075975608,76.96699999999998
6,x2,0.36781406740316336,0.3835357588739733,0.3631824610762494,0.05130476290654533,0.5673153570493781,0.3422847793196861,76.96699999999998
6,x3,-0.974092299726605,-0.9514536862043174,-0.9224019850364926,-0.909768982125654,-1.1149649860936919,-0.9967405452792557,76.96699999999998
6,x4,-0.5887258105107975,-0.666726249296189,-0.7455703156165469,-0.8087804830385862,-0.9216479998885758,-0.6587034706368757,76.96699999999998
6,x5,0.8312795546152973,0.8341005939413147,0.7875699344190846,0.7013045691959596,0.8381387626558477,0.8550468021896517,76.96699999999998
6,x6,-0.10176517049948575,-0.1069409569047348,-0.20096283822246958,-0.19848170276057495,-0.18513745497091394,-0.19055777160968385,76.96699999999998
6,x7,-0.12176236913692495,-0.16842643036231716,-0.1431549170747442,-0.36048570358703486,-0.28355693366112,-0.14873542512063223,76.96699999999998
