i,var,beta,ml,mom,gmm,cue,el
1,x1,-0.37441353287501605,-0.37152520244093457,-0.3694721604205815,-0.39792603481198763,-0.380304431034495,-0.37586857273130025
1,x2,0.14994918186902773,0.1689845541203018,0.1666640977454669,0.18121579582988517,0.18031773585231153,0.1794842397144928
1,x3,0.4636108985708718,0.5304636815218855,0.5322768733444869,0.5476776234705094,0.555867647678179,0.5323565036800442
1,x4,-0.2602189106693336,-0.32268361566275644,-0.32289721586039455,-0.3495360534143956,-0.34723514516953785,-0.33711371565600795
1,x5,-0.14907313138414435,-0.20122782323449484,-0.19777752059366518,-0.20901836167151527,-0.2150256146629497,-0.2043765722359786
2,x1,0.04700688942741449,-0.01257849405525125,-0.013319971376732567,-0.007953742971575391,-0.01091713168810514,-0.008882300764960308
2,x2,-0.24525405909233822,-0.22568230474775336,-0.2238195497178964,-0.22753037943239843,-0.22229901865870977,-0.2220506088345924
2,x3,0.3236511909215357,0.29503223437961373,0.29188739293338395,0.29706898802904963,0.3015602543938652,0.2945344591065129
2,x4,-0.22786209741498253,-0.25435213127309514,-0.25364368843591295,-0.25738089784261403,-0.2604621886703656,-0.2550703366144253
2,x5,-0.05200874079433687,-0.019920505601529973,-0.020780162435700158,-0.008673167536218124,-0.015836119283813798,-0.017668680760627425
3,x1,0.2538537608463276,0.17029878679051869,0.17200853043684872,0.17126462953747618,0.16265580330600624,0.16233933356169397
3,x2,-0.44991661272539185,-0.4895415082055047,-0.48599707064067155,-0.490661415396761,-0.4841933460851133,-0.4757180263739116
3,x3,0.18465686296313721,0.19668199979576312,0.19670865925385955,0.20958147310053749,0.21717958180928312,0.19826661023684014
3,x4,0.2596615483075386,0.25445811045257616,0.25715294714182707,0.26802260021045043,0.27187096806360656,0.2587807581915599
3,x5,0.26242505353512513,0.21508749727441093,0.2140125554143386,0.22431269024402029,0.22891057396754247,0.2143513261241314
4,x1,0.08901037613725249,0.09400183353893622,0.09302845015722933,0.09013672091360052,0.09185723631943109,0.09179309905044633
4,x2,0.23026901015451984,0.1817593592454306,0.17874987261588854,0.1790347353249752,0.17775016032732405,0.17888515558661242
4,x3,0.37216703673143503,0.3740801384993287,0.37430199421892024,0.38670721350059656,0.389608654125457,0.3789606541315193
4,x4,-0.0892770647931912,-0.06815469271586966,-0.06493226842612235,-0.06628529757803175,-0.06133011987006186,-0.06469394066527884
4,x5,-0.4857264901583805,-0.5449152084873496,-0.5408729953190514,-0.5554890863644222,-0.5607985785453834,-0.5472196303487769
5,x1,0.37985292519661806,0.48167329747634824,0.48071343497471897,0.5012390860156806,0.4992309616538816,0.48703009947943593
5,x2,0.12225322621610746,0.08197327120388807,0.07966466033319906,0.07874359134814701,0.08031548505217254,0.08556896033377687
5,x3,-0.3747116550663543,-0.3005870154638811,-0.29696713681282566,-0.3106040136925647,-0.3079054820748898,-0.2979168324810692
5,x4,0.2691850948591018,0.28662351205646797,0.28812938148800704,0.2999772014401333,0.30037898644977995,0.28515877738325135
5,x5,-0.43170015881621115,-0.4327547458038085,-0.4283792100550924,-0.4520413869938707,-0.4578531290170839,-0.4394433231047617
6,x1,-0.37427041652804394,-0.37808657464568884,-0.3759496498681062,-0.3821814440454183,-0.38174031831942407,-0.3768106770516032
6,x2,0.18390703370158168,0.22536848001264806,0.21755052213953446,0.2223940431982558,0.22141299133005,0.21854137537164603
6,x3,-0.4870461498633025,-0.5776315574327556,-0.5761760535163892,-0.5762618901174664,-0.5759902665418847,-0.5664898322428084
6,x4,-0.29436290525539877,-0.35044125864125986,-0.34476166961664373,-0.3511363209359217,-0.3496699342739172,-0.3447683032867833
6,x5,0.4156397773076487,0.4547184865381784,0.4525125759292226,0.45552707203069925,0.4539660360740582,0.45037754556425
7,x1,0.30507111979061585,0.2837237449306991,0.28379112110540816,0.2940695021679602,0.2912799194882413,0.2881188403508139
7,x2,-0.07857591946231923,-0.15358003031699366,-0.1526478817176238,-0.14417893332421194,-0.14348293173234605,-0.14410938339233084
7,x3,0.43268791562856335,0.4063948818942524,0.4059377371508864,0.41539294856176623,0.41726973875031376,0.41001924644864746
7,x4,0.18650894653840489,0.17309916613417414,0.1712894347310352,0.17327686893862523,0.17183736283627127,0.16424214554788463
7,x5,0.4126030865175283,0.36954638538873413,0.3726751197489285,0.38216047818213444,0.38480609525550646,0.3753787917069222
8,x1,0.2944728148287036,0.26637169424051405,0.26524400015481675,0.2842131204070891,0.27519580435187124,0.27198285408996886
8,x2,0.33012737861520036,0.3832801453072689,0.38203397524624677,0.3995082477181149,0.39940017010713297,0.38690263223677435
8,x3,0.10703298851448617,0.10574439632104125,0.10697573287061488,0.10861065510099642,0.1157941991805382,0.10564831559135596
8,x4,0.006551235765837382,0.04233734694241528,0.04172126452288963,0.03857704445442258,0.0407738750144236,0.047122100877544836
8,x5,0.14573631093677897,0.1467761577288875,0.14922375305825922,0.15303775774391506,0.157633046701552,0.1491942912911713
9,x1,-0.49882479332284,-0.4575443023802654,-0.459859886889593,-0.4747576869114194,-0.46900060247297554,-0.4587707291111111
9,x2,0.47905748725029584,0.4732868274808555,0.4750253749605452,0.4872434988037124,0.49326949190511477,0.4809532299044581
9,x3,0.18076886972410722,0.1576280161194737,0.16049989041786905,0.1540505524050885,0.1567842037729609,0.15115542493258904
9,x4,-0.18692691039312564,-0.16637493748481605,-0.1666670233994479,-0.1656814460018835,-0.16909877317485572,-0.16744529497235663
9,x5,-0.3544631804638406,-0.4316910132521484,-0.43101990947332625,-0.43499916399324806,-0.448830007124814,-0.437645296830599
10,x1,0.3562423642953886,0.3949424596599346,0.39542522027787436,0.39947274423557066,0.39992533062633,0.39871286352118346
10,x2,0.28190561445345363,0.3036845511249735,0.302901185587249,0.32936561287109106,0.3358389873015918,0.31358572490534353
10,x3,0.1019181707405904,0.18917141105671106,0.19272375511794126,0.2031416100563749,0.1902249608068616,0.18762191120816163
10,x4,0.341997290527317,0.3446214395963419,0.34466508901828236,0.3560066765744679,0.35211551262438456,0.3466112945400357
10,x5,0.05409069109029696,0.020885993325021692,0.020880519111289172,0.020932518737934756,0.02625422454951486,0.025057647658918967
11,x1,0.028907844799764493,0.03299410702445095,0.03294656934642721,0.033426436244170646,0.03391242064040374,0.03349540587526548
11,x2,0.2541188145654075,0.18515154986553878,0.1865105095509814,0.17826435446238414,0.18479652625022447,0.18352575133741522
11,x3,0.032449540390983356,0.05734420321647525,0.057521708252833675,0.0601677658704048,0.057104900428474735,0.05588971390747951
11,x4,-0.25203777184334036,-0.21455569857868778,-0.21329227931797576,-0.2131282720613215,-0.21705827065546804,-0.21419752386158644
11,x5,-0.24438855676744592,-0.21030228225565062,-0.20947256665921873,-0.20096044302720878,-0.2096776816353346,-0.2087122507784211
12,x1,-0.18170667528058132,-0.15257355557577298,-0.15278051600717396,-0.161355541592959,-0.156235399944827,-0.15271923639021523
12,x2,0.2828821856154815,0.29582126257270674,0.2958057563280612,0.31515996290901493,0.30645635396355436,0.2999475454611454
12,x3,0.13404444672196292,0.16171935465884416,0.1622584826516011,0.18521089862624918,0.17191924249249185,0.1662165591297449
12,x4,-0.003550686812620274,0.005403615696566974,0.006144734092661597,0.014583668341522991,0.010147753770124095,0.007370342952262094
12,x5,-0.09058387410860641,-0.10854355392224495,-0.10829609981640817,-0.10804524380993041,-0.105848886639643,-0.10523431112945185
13,x1,-0.015646093817052287,-0.028468276847382668,-0.03029708838444474,-0.010932597639951976,-0.020277289340421115,-0.022305867940209136
13,x2,0.18737109912866468,0.1584613075505441,0.15687488538840128,0.1522250762904999,0.15555805592477803,0.15337964842028062
13,x3,-0.421648790292197,-0.4076349413882344,-0.40300812030268424,-0.42026907633445604,-0.43304197501442476,-0.41407781736323274
13,x4,0.0700301757469487,0.06914764245613697,0.07044820840574957,0.062467099390544165,0.06632668116440373,0.06565606810321428
13,x5,-0.38166746622576214,-0.3515709290060728,-0.3496573862301986,-0.3546681099307009,-0.35812786117526985,-0.3413069357958723
14,x1,-0.24434485165954778,-0.24491781389108347,-0.24494509197650405,-0.2449217396450004,-0.24589302673712127,-0.2468852236200487
14,x2,-0.4334670803884866,-0.4670482646015729,-0.46618509610275355,-0.4768447523168051,-0.48454771016752224,-0.4726114738032533
14,x3,0.20274115963144268,0.14085869628338962,0.140167484997957,0.15100876026663212,0.1519435683782089,0.14461717331357477
14,x4,0.1754729446252744,0.19634322702693907,0.19804608995799844,0.19248309959239804,0.19850905654759904,0.20284229567885295
14,x5,0.25200605541869525,0.29096496992227616,0.2931129135511148,0.29319995614727556,0.2932702044302292,0.2903594154110371
15,x1,0.3470577560802953,0.3744489672570394,0.37814609041765584,0.38000397366866384,0.3785416174607678,0.373347825102496
15,x2,-0.30437619758542833,-0.2824407258694684,-0.28083058962888524,-0.27666460334784887,-0.28856202295326383,-0.28561775490237457
15,x3,-0.23012202881867577,-0.22399086188032252,-0.2221232608956051,-0.23832061326910053,-0.23178517960043443,-0.22944457705248017
15,x4,0.47510269722467324,0.5363656111337937,0.5385857655571046,0.5505003137151392,0.5462571059065684,0.5384716392423448
15,x5,0.4033411338215126,0.47458305465418293,0.47554018056094255,0.5054773940168816,0.48720078643470827,0.47927920838009225
16,x1,-0.19347560504519512,-0.14046107893433243,-0.14251516508939266,-0.15060270604956524,-0.14649536861454843,-0.14424069895217528
16,x2,-0.1965653213871612,-0.27570639430403526,-0.2761936197686565,-0.2870661231411947,-0.28345134920547593,-0.2798435771822948
16,x3,-0.21550037311950643,-0.22759354820334926,-0.2274727459569539,-0.22455047726269464,-0.23112405324135732,-0.22428415405276622
16,x4,0.24332081098359293,0.22310968117295898,0.221016085370412,0.22430428751203416,0.2229584897497653,0.2200759633131786
16,x5,0.347130636964732,0.3810936400761235,0.3865477288715669,0.3921540242701089,0.3948113450027484,0.3875736395233596
17,x1,0.45753022263904264,0.4939529706510152,0.4936195419096246,0.5149502782219022,0.5051444335825158,0.49915431417950445
17,x2,-0.3673742156042338,-0.41666139498944055,-0.412995905172387,-0.4056907849040098,-0.4242785806637176,-0.4133799893471813
17,x3,-0.19988625090949702,-0.17364525369103517,-0.1678826101128123,-0.17240679591394356,-0.16927731060223705,-0.16855889292037077
17,x4,-0.4264301168027949,-0.4436810632311549,-0.4394178263335395,-0.4545904363722309,-0.4489842775972519,-0.43956308658672627
17,x5,0.4878509476485191,0.4751291017007039,0.4758184841106628,0.5000317609308456,0.49259137784733537,0.4762673595402005
18,x1,0.2576277639219945,0.27610305579959615,0.27235819655281124,0.27196119692391335,0.2728796626476818,0.26501570681564374
18,x2,0.03206711627309222,-0.051667580786822404,-0.0520441380261562,-0.0473515787538752,-0.0539953902718343,-0.05187118617594238
18,x3,0.1966888168620119,0.1960974842787877,0.19368213451300229,0.20648845727525175,0.20602302925352337,0.19086617985868587
18,x4,0.3952914008918711,0.3881403460396876,0.38693285069155864,0.407767756021595,0.41432998098247065,0.3763743366586928
18,x5,0.23864695956897175,0.27148541370828916,0.26971137852807725,0.2767602712354894,0.27018423940812214,0.2635155511644887
19,x1,-0.22663844473212874,-0.18030174002207858,-0.18218661408695438,-0.20481754885864886,-0.19808310019908307,-0.18557330269195002
19,x2,0.15154510702038704,0.14599073519604086,0.14209262764611555,0.14938666249641872,0.14239741216468546,0.13792513848616264
19,x3,-0.4223358356034974,-0.47560330014117164,-0.47591129441499014,-0.47853232525646167,-0.4724734921075551,-0.46570390666524064
19,x4,0.39016268778448915,0.3663517503355784,0.37044991194546756,0.4123230513263061,0.40948504494084226,0.3780478880780074
19,x5,-0.42909941711758237,-0.4877116120928286,-0.4908869237519069,-0.49599446114997714,-0.498665371855003,-0.4903319664468715
20,x1,-0.3091629797839326,-0.3407566919845648,-0.3395436773312927,-0.34819935297089116,-0.34372398721921005,-0.33788599165486405
20,x2,0.34164991324375904,0.41928661288936797,0.41593896973940575,0.4296576508140559,0.4279325385564178,0.41803272451238654
20,x3,0.011394506406518068,0.025771357672415035,0.026158849123885386,0.019095770524446092,0.022855263193385177,0.024162400810933207
20,x4,-0.30651512410378684,-0.30699281880507967,-0.3058271317390025,-0.31018391628845754,-0.3168227510889235,-0.30598550941008984
20,x5,0.06521949767266766,0.10765799712117893,0.10785982267238164,0.12254776336107856,0.11995759115924748,0.11288632764516043
21,x1,0.0017021543705016962,0.026235473629940165,0.022566218623193187,0.02552420492097411,0.02646093788078975,0.024448348598973546
21,x2,0.1892004970818999,0.10560204786001173,0.10731921602892736,0.13891311734548512,0.12392767025070134,0.11317280452478251
21,x3,-0.4494400435321799,-0.47255406859340765,-0.47378082038204605,-0.49923768954034103,-0.4980160706385493,-0.4817929545802434
21,x4,0.4181429408429498,0.4062943487775231,0.4034323130421571,0.4203473163513302,0.42398594009407187,0.4052174980878138
