i,ml,mom,gmm,cue,el
266,0,1,0,1,1
267,0,1,1,1,0
268,0,0,0,0,0
269,0,0,1,0,0
270,0,1,0,1,0
271,0,1,0,0,0
272,0,1,1,1,1
273,0,1,0,0,0
274,0,0,0,1,1
275,0,0,0,0,0
276,0,1,0,1,1
277,0,0,0,0,0
278,0,1,0,1,0
279,0,1,0,1,1
280,0,1,0,0,1
281,0,1,1,0,0
282,0,1,0,10,0
283,0,1,0,0,1
284,0,0,0,0,0
285,0,1,0,0,0
286,0,0,0,0,0
287,0,1,0,1,1
288,0,1,0,0,1
289,0,1,0,0,0
290,0,0,0,0,0
291,0,1,0,0,0
292,0,0,1,0,0
293,0,1,0,1,0
294,0,1,0,1,1
295,0,1,0,0,0
296,0,1,0,0,0
297,0,1,1,0,1
298,0,1,0,0,0
299,0,0,0,1,0
300,0,0,0,10,1
301,0,1,1,0,0
302,0,1,0,0,1
303,0,0,1,0,0
304,0,0,0,1,0
305,0,1,0,0,0
306,0,0,0,0,0
307,0,1,0,0,1
308,0,1,1,1,0
309,0,0,1,1,1
310,0,0,1,1,1
311,0,0,1,1,0
312,0,1,1,1,1
313,0,1,0,0,1
314,0,0,0,0,0
315,0,0,0,0,0
316,0,0,0,0,1
317,0,1,0,1,0
318,0,1,0,0,0
319,0,1,1,1,1
320,0,1,0,0,0
321,0,1,0,1,0
322,0,1,1,1,1
323,0,0,0,0,0
324,0,0,1,1,1
325,0,1,0,0,0
326,0,1,1,1,0
327,0,1,1,1,0
328,0,0,0,0,0
329,0,1,0,0,1
330,0,1,0,0,0
331,0,0,0,1,0
332,0,1,1,10,1
333,0,1,0,0,0
334,0,1,1,0,0
335,0,1,0,0,0
336,0,1,0,1,0
337,0,1,0,1,1
338,0,1,1,0,1
339,0,0,0,0,1
340,0,1,0,0,0
341,0,1,0,0,1
342,0,0,1,1,0
343,0,1,1,1,0
344,0,0,0,0,0
345,0,0,1,1,0
346,0,0,0,0,0
347,0,1,0,0,0
348,0,1,0,1,0
349,0,1,1,0,0
350,0,1,0,0,1
351,0,0,0,0,0
352,0,1,0,0,1
353,0,1,0,0,1
354,0,1,1,0,0
355,0,1,1,0,0
356,0,1,1,0,0
357,0,0,1,1,1
358,0,1,0,0,0
359,0,0,0,0,0
360,0,0,0,1,0
361,0,0,1,0,0
362,0,0,0,1,0
363,0,1,0,0,0
364,0,1,0,0,0
365,0,1,1,0,1
366,0,0,0,0,0
367,0,1,0,0,1
368,0,1,0,1,1
369,0,1,0,1,0
370,0,1,1,0,0
371,0,0,0,0,0
372,0,1,0,0,1
373,0,0,0,0,0
374,0,0,0,0,0
375,0,0,0,1,0
376,0,1,0,1,0
377,0,1,1,0,1
378,0,1,0,10,0
379,0,0,1,1,1
380,0,0,0,0,0
381,0,1,0,0,0
382,0,0,1,0,0
383,0,1,0,0,1
384,0,1,1,1,0
385,0,0,0,0,0
386,0,0,1,0,0
387,0,1,0,0,0
388,0,1,0,0,1
389,0,0,0,0,1
390,0,1,0,1,0
391,0,1,1,0,0
392,0,0,1,0,0
393,0,1,1,1,0
394,0,1,1,0,0
395,0,1,0,0,0
396,0,1,1,1,0
397,0,1,0,1,0
398,0,1,0,0,1
399,0,0,0,1,0
400,0,1,0,0,0
401,0,1,0,0,0
402,0,1,1,0,0
403,0,0,0,1,0
404,0,0,0,1,1
405,0,1,1,0,0
406,0,1,0,1,0
407,0,0,1,0,0
408,0,1,0,0,0
409,0,1,1,0,0
410,0,1,0,0,0
411,0,1,0,0,1
412,0,0,0,1,1
413,0,1,1,1,0
414,0,0,1,0,1
415,0,1,0,1,1
416,0,0,0,0,0
417,0,0,0,0,0
418,0,1,0,0,0
419,0,1,0,0,0
420,0,1,0,0,0
421,0,1,1,0,0
422,0,1,1,0,1
423,0,1,0,0,0
424,0,0,1,0,1
425,0,1,0,0,1
426,0,1,1,0,1
427,0,1,10,1,0
428,0,1,0,0,1
429,0,1,1,10,0
430,0,0,0,0,0
431,0,1,0,0,0
432,0,0,0,0,0
